"","teamID","yearID","Rostercost","meansalary","rostersize"
"540","NYA",1989,17114375,552076.612903226,31
"541","NYA",1990,20912318,633706.606060606,33
"542","NYA",1991,27344168,976577.428571429,28
"543","NYA",1992,37543334,1137676.78787879,33
"544","NYA",1993,42624900,1291663.63636364,33
"545","NYA",1994,45731334,1576942.55172414,29
"546","NYA",1995,48874851,1437495.61764706,34
"547","NYA",1996,54191792,1593876.23529412,34
"548","NYA",1997,62241545,2146260.17241379,29
"549","NYA",1998,66806867,2087714.59375,32
"550","NYA",1999,86734359,2990839.96551724,29
"551","NYA",2000,92338260,3297795,28
"552","NYA",2001,112287143,3622165.90322581,31
"553","NYA",2002,125928583,4342364.93103448,29
"554","NYA",2003,152749814,5455350.5,28
"555","NYA",2004,184193950,6351515.51724138,29
"556","NYA",2005,208306817,8011800.65384615,26
"557","NYA",2006,194663079,6952252.82142857,28
"558","NYA",2007,189259045,6759251.60714286,28
"559","NYA",2008,207896789,6929892.96666667,30
"560","NYA",2009,201449189,7748045.73076923,26
"561","NYA",2010,206333389,8253335.56,25
"562","NYA",2011,202275028,6975000.96551724,29
"563","NYA",2012,196522289,6776630.65517241,29
"564","NYA",2013,231978886,7483189.87096774,31
"565","NYA",2014,197543907,8230996.125,24
"566","NYA",2015,212751957,7336274.37931035,29
"567","NYA",2016,222997792,7689579.03448276,29
"568","NYN",1985,10834762,515941.047619048,21
"569","NYN",1986,15393714,549775.5,28
"570","NYN",1987,13846714,553868.56,25
"571","NYN",1988,15269314,610772.56,25
"572","NYN",1989,19885071,710181.107142857,28
"573","NYN",1990,21722834,678838.5625,32
"574","NYN",1991,32590001,1253461.57692308,26
"575","NYN",1992,44602002,1715461.61538462,26
"576","NYN",1993,39043667,1301455.56666667,30
"577","NYN",1994,30956583,998599.451612903,31
"578","NYN",1995,27674992,674999.804878049,41
"579","NYN",1996,24479500,741803.03030303,33
"580","NYN",1997,39800400,1137154.28571429,35
"581","NYN",1998,52077999,1578121.18181818,33
"582","NYN",1999,65092092,2099744.90322581,31
"583","NYN",2000,79509776,3180391.04,25
"584","NYN",2001,93174428,3212911.31034483,29
"585","NYN",2002,94633593,3639753.57692308,26
"586","NYN",2003,116876429,4174158.17857143,28
"587","NYN",2004,96660970,3452177.5,28
"588","NYN",2005,101305821,3752067.44444444,27
"589","NYN",2006,101084963,3743887.51851852,27
"590","NYN",2007,115231663,3841055.43333333,30
"591","NYN",2008,137793376,4593112.53333333,30
"592","NYN",2009,149373987,5334785.25,28
"593","NYN",2010,134422942,4800819.35714286,28
"594","NYN",2011,118847309,4401752.18518519,27
"595","NYN",2012,93353983,3457554.92592593,27
"596","NYN",2013,49448346,1648278.2,30
"597","NYN",2014,85556990,3168777.40740741,27
"598","NYN",2015,96766683,3870667.32,25
"599","NYN",2016,133889129,4958856.62962963,27
"600","OAK",1985,9058606,431362.19047619,21
"601","OAK",1986,9779421,315465.193548387,31
"602","OAK",1987,11680839,449263.038461538,26
"603","OAK",1988,9690000,421304.347826087,23
"604","OAK",1989,15613070,624522.8,25
