"","playerID","yearID","stint","POS","G","GS","InnOuts","PO","A","E","DP"
"912","ramosdo01",1985,1,"1B",14,0,51,15,0,0,1
"913","ramosdo01",1985,1,"2B",20,10,309,25,36,3,9
"914","ramosdo01",1985,1,"3B",7,2,87,3,10,1,1
"915","ramosdo01",1985,1,"SS",36,27,771,44,73,6,15
"916","ramsemi01",1985,1,"2B",2,2,36,1,3,1,0
"917","ramsemi01",1985,1,"SS",4,1,54,4,8,1,1
"918","randowi01",1985,1,"2B",143,141,3768,303,425,11,104
"919","rasmude01",1985,1,"P",22,16,305,7,13,0,2
"920","rawlesh01",1985,1,"P",36,31,596,12,36,1,2
"921","rayfofl01",1985,1,"3B",78,66,1829,62,145,6,13
"922","rayfofl01",1985,1,"C",29,22,575,114,7,1,0
"923","rayjo01",1985,1,"2B",151,145,3926,305,423,18,89
"924","readyra01",1985,1,"2B",3,2,51,4,2,0,0
"925","readyra01",1985,1,"3B",7,7,170,4,7,0,0
"926","readyra01",1985,1,"OF",37,35,957,85,5,1,1
"927","reardje01",1985,1,"P",63,0,263,9,8,0,0
"928","redusga01",1985,1,"OF",85,59,1662,140,3,2,0
"929","reedje01",1985,1,"P",33,5,217,13,8,0,1
"930","reedje02",1985,1,"C",7,2,72,9,3,0,0
"931","reuscri01",1985,1,"P",31,26,582,24,40,0,2
"932","reussje01",1985,1,"P",34,33,638,12,27,3,0
"933","reyesgi01",1985,1,"C",6,0,36,6,4,0,0
"934","reynocr01",1985,1,"2B",1,0,12,1,1,0,0
"935","reynocr01",1985,1,"SS",102,89,2453,158,318,11,65
"936","reynoha01",1985,1,"2B",61,30,923,69,123,8,22
"937","reynorj01",1985,1,"OF",54,50,1327,94,3,3,0
"938","reynorj01",1985,2,"OF",31,31,837,65,3,3,0
"939","reynoro02",1985,1,"C",25,11,367,86,9,1,2
"940","rhoderi01",1985,1,"P",35,35,640,13,30,0,1
"941","riceji01",1985,1,"OF",130,130,3401,236,8,9,1
"942","righeda01",1985,1,"P",74,0,321,1,12,1,2
"943","rijojo01",1985,1,"P",12,9,191,2,5,0,0
"944","rileser01",1985,1,"SS",115,113,3043,183,310,22,62
"945","ripkeca01",1985,1,"SS",161,161,4282,286,474,26,123
"946","riverge01",1985,1,"3B",11,9,232,7,25,2,3
"947","roberan01",1985,1,"2B",2,2,51,5,4,0,2
"948","roberan01",1985,1,"3B",33,32,639,11,41,8,6
"949","roberan01",1985,1,"SS",14,8,237,16,22,2,8
"950","roberbe01",1985,1,"P",42,0,204,5,12,0,0
"951","robidbi01",1985,1,"1B",6,4,126,49,5,0,6
"952","robidbi01",1985,1,"OF",11,9,216,15,1,0,0
"953","robindo01",1985,1,"P",44,6,286,7,11,0,2
