"","playerID","yearID","stint","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","batav"
"345","gurala01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"346","gurala01",1985,2,6,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
"347","gutieja01",1985,1,275,33,60,5,2,2,21,10,2,12,37,0,0,9,1,9,0.218181818181818
"348","guzmajo01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"349","gwynnto01",1985,1,622,90,197,29,5,6,46,14,11,45,33,4,2,1,1,17,0.316720257234727
"350","haasmo01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351","habyajo01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"352","hairsje01",1985,1,140,9,34,8,0,2,20,0,0,29,18,3,2,0,4,3,0.242857142857143
"353","hallal02",1985,1,47,5,7,0,1,0,3,1,1,9,12,1,0,1,0,3,0.148936170212766
"354","hallme01",1985,1,66,7,21,6,0,0,12,0,1,8,12,0,0,0,1,2,0.318181818181818
"355","hammaat01",1985,1,47,0,4,0,0,0,0,0,0,0,17,0,0,6,0,0,0.0851063829787234
"356","hargrmi01",1985,1,284,31,81,14,1,1,27,1,0,39,29,2,0,2,1,8,0.285211267605634
"357","harpebr01",1985,1,52,5,13,4,0,0,8,0,0,2,3,0,0,0,1,2,0.25
"358","harpete01",1985,1,492,58,130,15,2,17,72,9,9,44,76,4,3,1,2,13,0.264227642276423
"359","harrato01",1985,1,396,65,107,18,1,9,44,11,4,113,60,2,4,2,6,4,0.27020202020202
"360","harrigr01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"361","hassero01",1985,1,267,31,79,16,1,13,42,0,0,28,21,4,3,0,0,7,0.295880149812734
"362","hasslan01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"363","hatchbi01",1985,1,163,24,40,12,1,2,10,2,4,8,12,0,3,2,2,9,0.245398773006135
"364","hatchmi01",1985,1,444,46,125,28,0,3,49,0,0,16,23,1,2,3,2,15,0.281531531531532
"365","havenbr01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"366","hawkian01",1985,1,77,1,6,0,0,0,3,0,0,3,16,0,0,13,0,1,0.0779220779220779
"367","hayesvo01",1985,1,570,76,150,30,4,13,70,21,8,61,99,6,0,2,4,6,0.263157894736842
